PNA,ADRESS,WOJ
89-300 Auguścin,Wyrzysk pilski,wielkopolskie
16-140 Aulakowszczyzna,Korycin sokólski,podlaskie
22-510 Aurelin,Uchanie hrubieszowski,lubelskie
14-400 Awajki,Pasłęk elbląski,warmińsko-mazurskie
88-300 Baba,Mogilno mogileński,kujawsko-pomorskie
87-510 Baba,Skrwilno rypiński,kujawsko-pomorskie
07-436 Baba,Łyse ostrołęcki,mazowieckie
13-334 Babalice,Biskupiec nowomiejski,warmińsko-mazurskie
16-500 Babańce,Sejny sejneński,podlaskie
97-524 Babczów,Kobiele Wielkie radomszczański,łódzkie
21-102 Babczyzna,Ostrówek lubartowski,lubelskie
83-330 Babi Dół,Żukowo kartuski,pomorskie
64-965 Babi Dwór,Okonek złotowski,wielkopolskie
62-586 Babia,Rzgów koniński,wielkopolskie
87-400 Babiak,Golub-Dobrzyń golubsko-dobrzyński,kujawsko-pomorskie
11-100 Babiak,Lidzbark Warmiński lidzbarski,warmińsko-mazurskie
62-620 Babiak,Babiak kolski,wielkopolskie
21-200 Babianka,Parczew parczewski,lubelskie
34-103 Babica,Wadowice wadowicki,małopolskie
38-120 Babica,Czudec strzyżowski,podkarpackie
23-413 Babice,Obsza biłgorajski,lubelskie
95-083 Babice,Lutomiersk pabianicki,łódzkie
32-551 Babice,Babice chrzanowski,małopolskie
32-600 Babice,Oświęcim oświęcimski,małopolskie
08-455 Babice (Babice-Kolonia),Trojanów garwoliński,mazowieckie
08-455 Babice,Trojanów garwoliński,mazowieckie
48-120 Babice,Baborów głubczycki,opolskie
37-754 Babice,Krzywcza przemyski,podkarpackie
37-754 Babice (Przedmieście Babickie),Krzywcza przemyski,podkarpackie
37-754 Babice (Półanki),Krzywcza przemyski,podkarpackie
47-440 Babice,Nędza raciborski,śląskie
05-082 Babice Nowe,Stare Babice warszawski zachodni,mazowieckie
39-307 Babicha,Tuszów Narodowy mielecki,podkarpackie
95-030 Babichy,Rzgów łódzki wschodni,łódzkie
95-083 Babiczki,Lutomiersk pabianicki,łódzkie
83-050 Babidół (Nowiny),Kolbudy gdański,pomorskie
83-050 Babidół,Kolbudy gdański,pomorskie
09-200 Babiec Piaseczny,Rościszewo sierpecki,mazowieckie
09-204 Babiec Rżały,Rościszewo sierpecki,mazowieckie
09-200 Babiec-Więczanki,Rościszewo sierpecki,mazowieckie
42-287 Babienica Główna,Woźniki lubliniecki,śląskie
42-287 Babienica Kościelna,Woźniki lubliniecki,śląskie
42-283 Babienica (Mzyki) Krótka,Woźniki lubliniecki,śląskie
42-283 Babienica (Mzyki) Leśna,Woźniki lubliniecki,śląskie
42-287 Babienica Lubszecka,Woźniki lubliniecki,śląskie
42-287 Babienica 1 Maja,Woźniki lubliniecki,śląskie
42-287 Babienica Poznańska,Woźniki lubliniecki,śląskie
42-283 Babienica (Mzyki) Słoneczna,Woźniki lubliniecki,śląskie
42-287 Babienica Stawowa,Woźniki lubliniecki,śląskie
42-287 Babienica Wolności,Woźniki lubliniecki,śląskie
42-287 Babienica Zielona,Woźniki lubliniecki,śląskie
11-430 Babieniec,Korsze kętrzyński,warmińsko-mazurskie
11-710 Babięta,Piecki mrągowski,warmińsko-mazurskie
14-240 Babięty Wielkie (Babięty Małe),Susz iławski,warmińsko-mazurskie
14-240 Babięty Wielkie,Susz iławski,warmińsko-mazurskie
72-122 Babigoszcz,Przybiernów goleniowski,zachodniopomorskie
16-113 Babiki,Szudziałowo sokólski,podlaskie
27-300 Babilon,Lipsko lipski,mazowieckie
89-608 Babilon,Chojnice chojnicki,pomorskie
66-110 Babimost,Babimost zielonogórski,lubuskie
59-223 Babin,Krotoszyce legnicki,dolnośląskie
24-200 Babin,Bełżyce lubelski,lubelskie
24-200 Babin (Bzieniec),Bełżyce lubelski,lubelskie
26-704 Babin,Przyłęk zwoleński,mazowieckie
62-420 Babin,Strzałkowo słupecki,wielkopolskie
63-011 Babin,Środa Wielkopolska średzki,wielkopolskie
74-510 Babin,Trzcińsko-Zdrój gryfiński,zachodniopomorskie
74-202 Babin,Bielice pyrzycki,zachodniopomorskie
74-111 Babinek,Banie gryfiński,zachodniopomorskie
74-202 Babinek,Bielice pyrzycki,zachodniopomorskie
99-232 Babiniec,Zadzim poddębicki,łódzkie
98-240 Babiniec,Szadek zduńskowolski,łódzkie
16-080 Babino,Choroszcz białostocki,podlaskie
62-420 Babin-Olędry,Strzałkowo słupecki,wielkopolskie
19-506 Babki,Gołdap gołdapski,warmińsko-mazurskie
61-160 Babki,Mosina poznański,wielkopolskie
19-400 Babki Gąseckie,Olecko olecki,warmińsko-mazurskie
19-400 Babki Oleckie,Olecko olecki,warmińsko-mazurskie
63-830 Babkowice,Pępowo gostyński,wielkopolskie
64-514 Baborowo,Szamotuły szamotulski,wielkopolskie
48-120 Baborów,Baborów głubczycki,opolskie
64-500 Baborówko,Szamotuły szamotulski,wielkopolskie
09-130 Baboszewo,Baboszewo płoński,mazowieckie
12-200 Babrosty,Pisz piski,warmińsko-mazurskie
22-234 Babsk,Urszulin włodawski,lubelskie
96-200 Babsk,Biała Rawska rawski,łódzkie
96-317 Babskie Budy,Wiskitki żyrardowski,mazowieckie
39-340 Babule,Padew Narodowa mielecki,podkarpackie
99-352 Baby,Dąbrowice kutnowski,łódzkie
99-352 Baby (Nowe Baby),Dąbrowice kutnowski,łódzkie
97-310 Baby,Moszczenica piotrkowski,łódzkie
06-400 Baby,Ciechanów ciechanowski,mazowieckie
83-240 Baby,Lubichowo starogardzki,pomorskie
42-282 Baby,Kruszyna częstochowski,śląskie
63-430 Baby,Odolanów ostrowski,wielkopolskie
09-500 Baby Dolne,Gostynin gostyniński,mazowieckie
09-500 Baby Górne,Gostynin gostyniński,mazowieckie
16-404 Bachanowo,Jeleniewo suwalski,podlaskie
38-604 Bachlawa,Lesko leski,podkarpackie
16-150 Bachmackie Kolonie,Suchowola sokólski,podlaskie
16-100 Bachmatówka,Sokółka sokólski,podlaskie
88-150 Bachorce,Kruszwica inowrocławski,kujawsko-pomorskie
87-706 Bachorza,Zakrzewo aleksandrowski,kujawsko-pomorskie
08-206 Bachorza,Huszlew łosicki,mazowieckie
08-300 Bachorza,Sokołów Podlaski sokołowski,mazowieckie
08-300 Bachorza (Bachorza-Kolonia),Sokołów Podlaski sokołowski,mazowieckie
11-520 Bachorza,Ryn giżycki,warmińsko-mazurskie
89-606 Bachorze,Chojnice chojnicki,pomorskie
63-200 Bachorzew,Jarocin jarociński,wielkopolskie
87-610 Bachorzewo,Dobrzyń nad Wisłą lipnowski,kujawsko-pomorskie
98-113 Bachorzyn,Buczek łaski,łódzkie
87-312 Bachotek,Zbiczno brodnicki,kujawsko-pomorskie
34-116 Bachowice,Spytkowice wadowicki,małopolskie
36-068 Bachórz,Dynów rzeszowski,podkarpackie
37-752 Bachórzec,Dubiecko przemyski,podkarpackie
37-754 Bachów,Krzywcza przemyski,podkarpackie
16-050 Bachury,Michałowo białostocki,podlaskie
22-107 Bachus,Sawin chełmski,lubelskie
17-300 Baciki Bliższe,Siemiatycze siemiatycki,podlaskie
17-300 Baciki Bliższe (Altain),Siemiatycze siemiatycki,podlaskie
17-300 Baciki Bliższe (Czysta Dolina),Siemiatycze siemiatycki,podlaskie
17-300 Baciki Dalsze,Siemiatycze siemiatycki,podlaskie
17-300 Baciki Średnie,Siemiatycze siemiatycki,podlaskie
18-106 Baciuty,Turośń Kościelna białostocki,podlaskie
18-106 Baciuty-Kolonia,Turośń Kościelna białostocki,podlaskie
06-406 Bacze,Opinogóra Górna ciechanowski,mazowieckie
18-300 Bacze Mokre,Zambrów zambrowski,podlaskie
18-400 Bacze Suche,Łomża łomżyński,podlaskie
18-400 Bacze-Lipnik,Łomża łomżyński,podlaskie
08-307 Baczki,Repki sokołowski,mazowieckie
07-130 Baczki,Łochów węgrowski,mazowieckie
21-426 Baczków,Wola Mysłowska łukowski,lubelskie
32-708 Baczków,Bochnia bocheński,małopolskie
34-211 Baczyn,Budzów suski,małopolskie
73-200 Baczyn,Choszczno choszczeński,zachodniopomorskie
66-432 Baczyna,Lubiszyn gorzowski,lubuskie
26-200 Baczyna,Końskie konecki,świętokrzyskie
66-432 Baczyna-Kolonia,Lubiszyn gorzowski,lubuskie
72-410 Baczysław,Golczewo kamieński,zachodniopomorskie
27-552 Baćkowice (Kolonie),Baćkowice opatowski,świętokrzyskie
27-552 Baćkowice (Kantórka),Baćkowice opatowski,świętokrzyskie
27-552 Baćkowice,Baćkowice opatowski,świętokrzyskie
27-552 Baćkowice (Poddane),Baćkowice opatowski,świętokrzyskie
96-320 Badowo-Dańki,Mszczonów żyrardowski,mazowieckie
96-320 Badowo-Mściska,Mszczonów żyrardowski,mazowieckie
96-320 Badów Górny,Mszczonów żyrardowski,mazowieckie
28-136 Badrzychowice,Nowy Korczyn buski,świętokrzyskie
26-425 Badulki,Odrzywół przysuski,mazowieckie
63-410 Bagatela,Ostrów Wielkopolski ostrowski,wielkopolskie
07-311 Bagatele,Wąsewo ostrowski,mazowieckie
98-420 Bagatelka,Sokolniki wieruszowski,łódzkie
89-300 Bagdad,Wyrzysk pilski,wielkopolskie
78-111 Bagicz,Ustronie Morskie kołobrzeski,zachodniopomorskie
89-520 Bagienica,Gostycyn tucholski,kujawsko-pomorskie
06-330 Bagienice,Chorzele przasnyski,mazowieckie
06-330 Bagienice (Przątalina),Chorzele przasnyski,mazowieckie
19-222 Bagienice,Wąsosz grajewski,podlaskie
18-423 Bagienice,Przytuły łomżyński,podlaskie
11-700 Bagienice,Mrągowo mrągowski,warmińsko-mazurskie
09-310 Bagienice Duże,Kuczbork-Osada żuromiński,mazowieckie
09-310 Bagienice Małe,Kuczbork-Osada żuromiński,mazowieckie
11-700 Bagienice Małe (Joachimowo),Mrągowo mrągowski,warmińsko-mazurskie
11-700 Bagienice Małe,Mrągowo mrągowski,warmińsko-mazurskie
09-310 Bagienice Nowe,Kuczbork-Osada żuromiński,mazowieckie
06-212 Bagienice Szlacheckie,Krasnosielc makowski,mazowieckie
06-212 Bagienice Szlacheckie (Bagienice-Pagórki),Krasnosielc makowski,mazowieckie
06-212 Bagienice-Folwark,Krasnosielc makowski,mazowieckie
58-100 Bagieniec,Jaworzyna Śląska świdnicki,dolnośląskie
16-080 Bagienki,Tykocin białostocki,podlaskie
07-221 Bagienko,Brańszczyk wyszkowski,mazowieckie
14-140 Bagieńsko,Miłomłyn ostródzki,warmińsko-mazurskie
18-507 Bagińskie,Grabowo kolneński,podlaskie
89-650 Bagna,Czersk chojnicki,pomorskie
83-424 Bagna,Lipusz kościerski,pomorskie
42-141 Bagna,Przystajń kłobucki,śląskie
72-212 Bagna,Maszewo goleniowski,zachodniopomorskie
77-304 Bagnica,Rzeczenica człuchowski,pomorskie
76-012 Bagnica,Polanów koszaliński,zachodniopomorskie
86-120 Bagniewko,Pruszcz świecki,kujawsko-pomorskie
78-426 Bagniewko,Biały Bór szczecinecki,zachodniopomorskie
86-120 Bagniewo (Za Koleją),Pruszcz świecki,kujawsko-pomorskie
86-120 Bagniewo,Pruszcz świecki,kujawsko-pomorskie
66-535 Bagniewo,Drezdenko strzelecko-drezdenecki,lubuskie
16-050 Bagniuki,Michałowo białostocki,podlaskie
55-120 Bagno,Oborniki Śląskie trzebnicki,dolnośląskie
87-840 Bagno,Lubień Kujawski włocławski,kujawsko-pomorskie
22-470 Bagno,Zwierzyniec zamojski,lubelskie
67-410 Bagno,Sława wschowski,lubuskie
97-340 Bagno,Rozprza piotrkowski,łódzkie
05-110 Bagno,Jabłonna legionowski,mazowieckie
19-124 Bagno,Jaświły moniecki,podlaskie
13-332 Bagno,Nowe Miasto Lubawskie nowomiejski,warmińsko-mazurskie
76-024 Bagno,Świeszyno koszaliński,zachodniopomorskie
16-200 Bagny,Dąbrowa Białostocka sokólski,podlaskie
63-012 Bagrowo,Dominowo średzki,wielkopolskie
38-471 Bajdy,Wojaszówka krośnieński,podkarpackie
14-230 Bajdy,Zalewo iławski,warmińsko-mazurskie
11-200 Bajdyty,Bartoszyce bartoszycki,warmińsko-mazurskie
86-253 Bajerze,Kijewo Królewskie chełmiński,kujawsko-pomorskie
19-111 Bajki-Zalesie,Krypno moniecki,podlaskie
97-500 Bajkowizna,Radomsko radomszczański,łódzkie
11-420 Bajorski Gaj,Srokowo kętrzyński,warmińsko-mazurskie
11-420 Bajory Małe,Srokowo kętrzyński,warmińsko-mazurskie
11-420 Bajory Wielkie,Srokowo kętrzyński,warmińsko-mazurskie
19-321 Bajtkowo,Ełk ełcki,warmińsko-mazurskie
16-423 Bakałarzewo,Bakałarzewo suwalski,podlaskie
16-420 Bakaniuk,Raczki suwalski,podlaskie
06-320 Bakuła,Baranowo ostrołęcki,mazowieckie
22-150 Bakus-Wanda,Wierzbica chełmski,lubelskie
27-500 Balbinów,Opatów opatowski,świętokrzyskie
47-134 Balcarzowice,Ujazd strzelecki,opolskie
96-100 Balcerów,Skierniewice skierniewicki,łódzkie
88-110 Balczewo,Inowrocław inowrocławski,kujawsko-pomorskie
82-500 Baldram,Kwidzyn kwidzyński,pomorskie
57-211 Baldwinowice,Ciepłowody ząbkowicki,dolnośląskie
46-142 Baldwinowice,Namysłów namysłowski,opolskie
08-124 Bale,Mokobody siedlecki,mazowieckie
82-433 Balewko,Mikołajki Pomorskie sztumski,pomorskie
82-433 Balewo,Mikołajki Pomorskie sztumski,pomorskie
82-325 Balewo,Markusy elbląski,warmińsko-mazurskie
88-160 Balice,Janikowo inowrocławski,kujawsko-pomorskie
32-083 Balice,Zabierzów krakowski,małopolskie
28-114 Balice,Gnojno buski,świętokrzyskie
28-114 Balice (Przyborów),Gnojno buski,świętokrzyskie
38-606 Baligród,Baligród leski,podkarpackie
18-414 Baliki,Nowogród łomżyński,podlaskie
99-320 Balików,Żychlin kutnowski,łódzkie
88-110 Balin,Inowrocław inowrocławski,kujawsko-pomorskie
87-500 Balin,Rypin rypiński,kujawsko-pomorskie
99-200 Balin,Poddębice poddębicki,łódzkie
32-500 Balin,Chrzanów chrzanowski,małopolskie
16-310 Balinka,Sztabin augustowski,podlaskie
99-120 Balków,Piątek łęczycki,łódzkie
38-543 Balnica,Komańcza sanocki,podkarpackie
83-424 Bałachy,Lipusz kościerski,pomorskie
37-600 Bałaje,Lubaczów lubaczowski,podkarpackie
37-600 Bałaje (Mokrzyca),Lubaczów lubaczowski,podkarpackie
76-211 Bałamątek,Ustka słupski,pomorskie
19-330 Bałamutowo,Stare Juchy ełcki,warmińsko-mazurskie
34-600 Bałażówka,Limanowa limanowski,małopolskie
11-042 Bałąg,Jonkowo olsztyński,warmińsko-mazurskie
14-100 Bałcyny,Ostróda ostródzki,warmińsko-mazurskie
62-872 Bałdoń,Godziesze Wielkie kaliski,wielkopolskie
63-507 Bałdowice,Kobyla Góra ostrzeszowski,wielkopolskie
87-603 Bałdowo,Wielgie lipnowski,kujawsko-pomorskie
83-110 Bałdowo,Tczew tczewski,pomorskie
99-200 Bałdrzychów,Poddębice poddębicki,łódzkie
10-687 Bałdy,Purda olsztyński,warmińsko-mazurskie
10-687 Bałdzki Piec,Purda olsztyński,warmińsko-mazurskie
08-307 Bałki,Repki sokołowski,mazowieckie
29-135 Bałków,Radków włoszczowski,świętokrzyskie
14-240 Bałoszyce,Susz iławski,warmińsko-mazurskie
14-240 Bałoszyce Małe,Susz iławski,warmińsko-mazurskie
11-400 Bałowo,Kętrzyn kętrzyński,warmińsko-mazurskie
24-103 Bałtów,Żyrzyn puławski,lubelskie
27-423 Bałtów,Bałtów ostrowiecki,świętokrzyskie
11-400 Bałtrucie,Kętrzyn kętrzyński,warmińsko-mazurskie
38-481 Bałucianka,Rymanów krośnieński,podkarpackie
98-100 Bałucz,Łask łaski,łódzkie
19-500 Bałupiany,Gołdap gołdapski,warmińsko-mazurskie
37-413 Banachy,Harasiuki niżański,podkarpackie
11-400 Banaszki,Kętrzyn kętrzyński,warmińsko-mazurskie
11-400 Banaszki (Gromki),Kętrzyn kętrzyński,warmińsko-mazurskie
38-700 Bandrów Narodowy,Ustrzyki Dolne bieszczadzki,podkarpackie
07-431 Bandysie,Czarnia ostrołęcki,mazowieckie
26-234 Bania,Słupia Konecka konecki,świętokrzyskie
38-315 Banica,Uście Gorlickie gorlicki,małopolskie
74-110 Banie,Banie gryfiński,zachodniopomorskie
19-520 Banie Mazurskie (Owczary),Banie Mazurskie gołdapski,warmińsko-mazurskie
19-520 Banie Mazurskie,Banie Mazurskie gołdapski,warmińsko-mazurskie
74-110 Baniewice,Banie gryfiński,zachodniopomorskie
80-297 Banino,Żukowo kartuski,pomorskie
05-532 Baniocha (Wilczynek),Góra Kalwaria piaseczyński,mazowieckie
05-532 Baniocha,Góra Kalwaria piaseczyński,mazowieckie
17-100 Bańki,Bielsk Podlaski bielski,podlaskie
22-360 Bańkowszczyzna,Rejowiec chełmski,lubelskie
34-424 Bańska Niżna,Szaflary nowotarski,małopolskie
34-424 Bańska Wyżna,Szaflary nowotarski,małopolskie
21-002 Barak,Jastków lubelski,lubelskie
26-500 Barak,Szydłowiec szydłowiecki,mazowieckie
22-304 Baraki,Siennica Różana krasnostawski,lubelskie
23-235 Baraki,Annopol kraśnicki,lubelskie
23-155 Baraki,Zakrzew lubelski,lubelskie
09-110 Baraki,Sochocin płoński,mazowieckie
06-452 Baraki Chotumskie,Ciechanów ciechanowski,mazowieckie
06-452 Baraki Chotumskie (Rajmundowo),Ciechanów ciechanowski,mazowieckie
21-136 Baran,Firlej lubartowski,lubelskie
26-080 Baran,Mniów kielecki,świętokrzyskie
22-315 Baranica,Gorzków krasnostawski,lubelskie
87-400 Baraniec,Golub-Dobrzyń golubsko-dobrzyński,kujawsko-pomorskie
06-456 Baraniec,Ojrzeń ciechanowski,mazowieckie
06-425 Baraniec,Karniewo makowski,mazowieckie
62-312 Baraniec,Pyzdry wrzesiński,wielkopolskie
16-061 Baranki,Juchnowiec Kościelny białostocki,podlaskie
77-430 Barankowo,Krajenka złotowski,wielkopolskie
56-210 Baranowice,Wąsosz górowski,dolnośląskie
56-300 Baranowice,Milicz milicki,dolnośląskie
55-080 Baranowice,Kąty Wrocławskie wrocławski,dolnośląskie
55-080 Baranowice (Bliż),Kąty Wrocławskie wrocławski,dolnośląskie
66-431 Baranowice,Santok gorzowski,lubuskie
62-660 Baranowiec,Dąbie kolski,wielkopolskie
88-150 Baranowo,Kruszwica inowrocławski,kujawsko-pomorskie
06-320 Baranowo (Zamoście),Baranowo ostrołęcki,mazowieckie
06-320 Baranowo,Baranowo ostrołęcki,mazowieckie
16-406 Baranowo,Rutka-Tartak suwalski,podlaskie
77-124 Baranowo,Parchowo bytowski,pomorskie
11-730 Baranowo,Mikołajki mrągowski,warmińsko-mazurskie
12-160 Baranowo,Wielbark szczycieński,warmińsko-mazurskie
62-260 Baranowo,Łubowo gnieźnieński,wielkopolskie
62-050 Baranowo,Mosina poznański,wielkopolskie
62-081 Baranowo,Tarnowo Podgórne poznański,wielkopolskie
24-105 Baranów,Baranów puławski,lubelskie
96-314 Baranów,Baranów grodziski,mazowieckie
27-312 Baranów,Chotcza lipski,mazowieckie
28-100 Baranów,Busko-Zdrój buski,świętokrzyskie
28-530 Baranów,Skalbmierz kazimierski,świętokrzyskie
63-604 Baranów,Baranów kępiński,wielkopolskie
39-450 Baranów Sandomierski,Baranów Sandomierski tarnobrzeski,podkarpackie
27-552 Baranówek,Baćkowice opatowski,świętokrzyskie
63-300 Baranówek,Pleszew pleszewski,wielkopolskie
21-100 Baranówka,Lubartów lubartowski,lubelskie
32-010 Baranówka,Kocmyrzów-Luborzyca krakowski,małopolskie
14-530 Baranówka,Frombork braniewski,warmińsko-mazurskie
62-050 Baranówko,Mosina poznański,wielkopolskie
87-600 Barany,Lipno lipnowski,kujawsko-pomorskie
98-330 Barany,Pajęczno pajęczański,łódzkie
19-300 Barany,Ełk ełcki,warmińsko-mazurskie
19-411 Barany,Świętajno olecki,warmińsko-mazurskie
32-046 Barbarka,Skała krakowski,małopolskie
62-590 Barbarka,Golina koniński,wielkopolskie
22-175 Barbarówka,Dorohusk chełmski,lubelskie
62-511 Barce,Kramsk koniński,wielkopolskie
62-511 Barce (Marysin),Kramsk koniński,wielkopolskie
22-437 Barchaczów,Łabunie zamojski,lubelskie
64-234 Barchlin,Przemęt wolsztyński,wielkopolskie
83-211 Barchnowy,Starogard Gdański starogardzki,pomorskie
07-130 Barchów,Łochów węgrowski,mazowieckie
11-410 Barciany,Barciany kętrzyński,warmińsko-mazurskie
33-342 Barcice,Stary Sącz nowosądecki,małopolskie
07-203 Barcice (Kępa Barcicka),Somianka wyszkowski,mazowieckie
07-203 Barcice,Somianka wyszkowski,mazowieckie
82-420 Barcice,Ryjewo kwidzyński,pomorskie
33-342 Barcice Dolne,Stary Sącz nowosądecki,małopolskie
05-651 Barcice Drwalewskie,Chynów grójecki,mazowieckie
05-650 Barcice Rososkie,Chynów grójecki,mazowieckie
19-504 Barcie,Dubeninki gołdapski,warmińsko-mazurskie
74-520 Barcie,Cedynia gryfiński,zachodniopomorskie
87-732 Barcikowo,Lubanie włocławski,kujawsko-pomorskie
09-472 Barcikowo,Słupno płocki,mazowieckie
11-040 Barcikowo,Dobre Miasto olsztyński,warmińsko-mazurskie
88-190 Barcin,Barcin żniński,kujawsko-pomorskie
58-512 Barcinek,Stara Kamienica jeleniogórski,dolnośląskie
77-230 Barcino,Kępice słupski,pomorskie
88-190 Barcin-Wieś,Barcin żniński,kujawsko-pomorskie
11-200 Barciszewo,Bartoszyce bartoszycki,warmińsko-mazurskie
26-001 Barcza,Masłów kielecki,świętokrzyskie
05-300 Barcząca,Mińsk Mazowiecki miński,mazowieckie
98-275 Barczew,Brzeźnio sieradzki,łódzkie
11-010 Barczewko,Barczewo olsztyński,warmińsko-mazurskie
11-010 Barczewo,Barczewo olsztyński,warmińsko-mazurskie
11-010 Barczewski Dwór,Barczewo olsztyński,warmińsko-mazurskie
97-360 Barczkowice,Kamieńsk radomszczański,łódzkie
32-813 Barczków,Szczurowa brzeski,małopolskie
62-571 Barczygłów,Stare Miasto koniński,wielkopolskie
62-330 Barczyzna,Nekla wrzesiński,wielkopolskie
57-256 Bardo,Bardo ząbkowicki,dolnośląskie
26-035 Bardo,Raków kielecki,świętokrzyskie
62-300 Bardo,Września wrzesiński,wielkopolskie
14-133 Barduń,Gietrzwałd olsztyński,warmińsko-mazurskie
78-113 Bardy,Dygowo kołobrzeski,zachodniopomorskie
14-405 Bardyny,Wilczęta braniewski,warmińsko-mazurskie
26-624 Bardzice,Kowala radomski,mazowieckie
99-340 Bardzinek,Krośniewice kutnowski,łódzkie
76-023 Bardzlino,Świeszyno koszaliński,zachodniopomorskie
99-205 Bardzynin,Dalików poddębicki,łódzkie
84-352 Bargędzino,Wicko lęborski,pomorskie
16-320 Bargłów Dworny,Bargłów Kościelny augustowski,podlaskie
16-320 Bargłów Kościelny,Bargłów Kościelny augustowski,podlaskie
16-320 Bargłów Kościelny (Kolonie Południowe),Bargłów Kościelny augustowski,podlaskie
16-320 Bargłówka,Bargłów Kościelny augustowski,podlaskie
44-153 Bargłówka,Sośnicowice gliwicki,śląskie
42-262 Bargły,Poczesna częstochowski,śląskie
66-235 Bargów,Torzym sulęciński,lubuskie
11-010 Bark,Barczewo olsztyński,warmińsko-mazurskie
21-070 Barki,Cyców łęczyński,lubelskie
77-140 Barkocin,Kołczygłowy bytowski,pomorskie
97-330 Barkowice,Sulejów piotrkowski,łódzkie
97-330 Barkowice Mokre,Sulejów piotrkowski,łódzkie
55-140 Barkowo,Żmigród trzebnicki,dolnośląskie
55-140 Barkowo (Barkówko),Żmigród trzebnicki,dolnośląskie
55-140 Barkowo (Szydłów),Żmigród trzebnicki,dolnośląskie
55-140 Barkowo (Wierzbina),Żmigród trzebnicki,dolnośląskie
77-300 Barkowo (Rogowo),Człuchów człuchowski,pomorskie
77-300 Barkowo,Człuchów człuchowski,pomorskie
19-500 Barkowo,Gołdap gołdapski,warmińsko-mazurskie
72-310 Barkowo,Gryfice gryficki,zachodniopomorskie
11-001 Barkweda,Dywity olsztyński,warmińsko-mazurskie
82-400 Barlewice,Sztum sztumski,pomorskie
82-400 Barlewiczki,Sztum sztumski,pomorskie
74-320 Barlinek,Barlinek myśliborski,zachodniopomorskie
89-504 Barłogi,Tuchola tucholski,kujawsko-pomorskie
24-170 Barłogi,Kurów puławski,lubelskie
66-627 Barłogi,Bobrowice krośnieński,lubuskie
62-640 Barłogi,Grzegorzew kolski,wielkopolskie
62-586 Barłogi,Rzgów koniński,wielkopolskie
84-242 Barłomino,Luzino wejherowski,pomorskie
64-200 Barłożnia Gościeszyńska,Wolsztyn wolsztyński,wielkopolskie
64-200 Barłożnia Wolsztyńska,Wolsztyn wolsztyński,wielkopolskie
83-225 Barłożno,Skórcz starogardzki,pomorskie
80-299 Barniewice Dębowa,Żukowo kartuski,pomorskie
80-297 Barniewice Jaskółcza,Żukowo kartuski,pomorskie
80-297 Barniewice Lipowa,Żukowo kartuski,pomorskie
80-299 Barniewice Orzechowa,Żukowo kartuski,pomorskie
80-297 Barniewice Topolowa,Żukowo kartuski,pomorskie
80-297 Barniewice,Żukowo kartuski,pomorskie
74-201 Barnim,Warnice pyrzycki,zachodniopomorskie
73-220 Barnimie,Drawno choszczeński,zachodniopomorskie
72-001 Barnisław,Kołbaskowo policki,zachodniopomorskie
72-410 Barnisławice,Golczewo kamieński,zachodniopomorskie
74-500 Barnkowo,Chojna gryfiński,zachodniopomorskie
33-336 Barnowiec,Łabowa nowosądecki,małopolskie
77-140 Barnowiec,Kołczygłowy bytowski,pomorskie
77-140 Barnowo,Kołczygłowy bytowski,pomorskie
74-311 Barnówko,Dębno myśliborski,zachodniopomorskie
16-320 Barszcze,Bargłów Kościelny augustowski,podlaskie
16-070 Barszczewo,Choroszcz białostocki,podlaskie
16-050 Barszczewo,Michałowo białostocki,podlaskie
16-304 Barszczowa Góra,Nowinka augustowski,podlaskie
18-106 Barszczówka,Turośń Kościelna białostocki,podlaskie
10-687 Bartąg,Stawiguda olsztyński,warmińsko-mazurskie
10-687 Bartążek,Stawiguda olsztyński,warmińsko-mazurskie
83-260 Bartel Wielki,Kaliska starogardzki,pomorskie
14-300 Bartężek,Morąg ostródzki,warmińsko-mazurskie
18-420 Bartki,Jedwabne łomżyński,podlaskie
14-521 Bartki,Lelkowo braniewski,warmińsko-mazurskie
13-124 Bartki,Kozłowo nidzicki,warmińsko-mazurskie
14-120 Bartki,Dąbrówno ostródzki,warmińsko-mazurskie
83-424 Bartkowa Stajnia,Lipusz kościerski,pomorskie
33-318 Bartkowa-Posadowa,Gródek nad Dunajcem nowosądecki,małopolskie
42-270 Bartkowice,Kłomnice częstochowski,śląskie
18-413 Bartkowizna,Miastkowo łomżyński,podlaskie
74-100 Bartkowo,Gryfino gryfiński,zachodniopomorskie
19-404 Bartkowski Dwór,Wieliczki olecki,warmińsko-mazurskie
56-210 Bartków,Wąsosz górowski,dolnośląskie
56-410 Bartków,Dobroszyce oleśnicki,dolnośląskie
26-050 Bartków,Zagnańsk kielecki,świętokrzyskie
86-230 Bartlewo,Lisewo chełmiński,kujawsko-pomorskie
76-012 Bartlewo,Polanów koszaliński,zachodniopomorskie
88-220 Bartłomiejowice,Osięciny radziejowski,kujawsko-pomorskie
24-160 Bartłomiejowice,Wąwolnica puławski,lubelskie
38-307 Bartne,Sękowa gorlicki,małopolskie
82-450 Bartne Łąki,Stary Dzierzgoń sztumski,pomorskie
16-424 Bartnia Góra,Filipów suwalski,podlaskie
57-451 Bartnica,Nowa Ruda kłodzki,dolnośląskie
87-321 Bartniczka,Bartniczka brodnicki,kujawsko-pomorskie
56-300 Bartniki,Milicz milicki,dolnośląskie
