teryt,municipality,county,voivodeship
0805013,Cybinka,słubicki,lubuskie
0805022,Górzyca,słubicki,lubuskie
0805033,Ośno Lubuskie,słubicki,lubuskie
0805043,Rzepin,słubicki,lubuskie
0805053,Słubice,słubicki,lubuskie
0806013,Dobiegniew,strzelecko-drezdenecki,lubuskie
0806023,Drezdenko,strzelecko-drezdenecki,lubuskie
0806032,Stare Kurowo,strzelecko-drezdenecki,lubuskie
0806043,Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie
0806052,Zwierzyn,strzelecko-drezdenecki,lubuskie
0807012,Krzeszyce,sulęciński,lubuskie
0807023,Lubniewice,sulęciński,lubuskie
0807032,Słońsk,sulęciński,lubuskie
0807043,Sulęcin,sulęciński,lubuskie
0807053,Torzym,sulęciński,lubuskie
0808012,Lubrza,świebodziński,lubuskie
0808022,Łagów,świebodziński,lubuskie
0808032,Skąpe,świebodziński,lubuskie
0808042,Szczaniec,świebodziński,lubuskie
0808053,Świebodzin,świebodziński,lubuskie
0808063,Zbąszynek,świebodziński,lubuskie
0809013,Babimost,zielonogórski,lubuskie
0809022,Bojadła,zielonogórski,lubuskie
0809033,Czerwieńsk,zielonogórski,lubuskie
0809043,Kargowa,zielonogórski,lubuskie
0809053,Nowogród Bobrzański,zielonogórski,lubuskie
0809063,Sulechów,zielonogórski,lubuskie
0809072,Świdnica,zielonogórski,lubuskie
0809082,Trzebiechów,zielonogórski,lubuskie
0809092,Zabór,zielonogórski,lubuskie
0810011,Gozdnica,żagański,lubuskie
0810021,Żagań,żagański,lubuskie
0810032,Brzeźnica,żagański,lubuskie
0810043,Iłowa,żagański,lubuskie
0810053,Małomice,żagański,lubuskie
0810062,Niegosławice,żagański,lubuskie
0810073,Szprotawa,żagański,lubuskie
0810082,Wymiarki,żagański,lubuskie
0810092,Żagań,żagański,lubuskie
0811011,Łęknica,żarski,lubuskie
0811021,Żary,żarski,lubuskie
0811032,Brody,żarski,lubuskie
0811043,Jasień,żarski,lubuskie
0811052,Lipinki Łużyckie,żarski,lubuskie
0811063,Lubsko,żarski,lubuskie
0811072,Przewóz,żarski,lubuskie
0811082,Trzebiel,żarski,lubuskie
0811092,Tuplice,żarski,lubuskie
0811102,Żary,żarski,lubuskie
0812013,Sława,wschowski,lubuskie
0812023,Szlichtyngowa,wschowski,lubuskie
0812033,Wschowa,wschowski,lubuskie
0861011,Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie
0862011,Zielona Góra,Zielona Góra,lubuskie
1001011,Bełchatów,bełchatowski,łódzkie
1001022,Bełchatów,bełchatowski,łódzkie
1001032,Drużbice,bełchatowski,łódzkie
1001042,Kleszczów,bełchatowski,łódzkie
1001052,Kluki,bełchatowski,łódzkie
1001062,Rusiec,bełchatowski,łódzkie
1001072,Szczerców,bełchatowski,łódzkie
1001083,Zelów,bełchatowski,łódzkie
1002011,Kutno,kutnowski,łódzkie
1002022,Bedlno,kutnowski,łódzkie
1002032,Dąbrowice,kutnowski,łódzkie
1002043,Krośniewice,kutnowski,łódzkie
1002052,Krzyżanów,kutnowski,łódzkie
1002062,Kutno,kutnowski,łódzkie
1002072,Łanięta,kutnowski,łódzkie
1002082,Nowe Ostrowy,kutnowski,łódzkie
1002092,Oporów,kutnowski,łódzkie
1002102,Strzelce,kutnowski,łódzkie
1002113,Żychlin,kutnowski,łódzkie
1003012,Buczek,łaski,łódzkie
1003023,Łask,łaski,łódzkie
1003032,Sędziejowice,łaski,łódzkie
1003042,Widawa,łaski,łódzkie
1003052,Wodzierady,łaski,łódzkie
1004011,Łęczyca,łęczycki,łódzkie
1004022,Daszyna,łęczycki,łódzkie
1004032,Góra Świętej Małgorzaty,łęczycki,łódzkie
1004042,Grabów,łęczycki,łódzkie
1004052,Łęczyca,łęczycki,łódzkie
1004063,Piątek,łęczycki,łódzkie
1004072,Świnice Warckie,łęczycki,łódzkie
1004082,Witonia,łęczycki,łódzkie
1005011,Łowicz,łowicki,łódzkie
1005022,Bielawy,łowicki,łódzkie
1005032,Chąśno,łowicki,łódzkie
1005042,Domaniewice,łowicki,łódzkie
1005052,Kiernozia,łowicki,łódzkie
1005062,Kocierzew Południowy,łowicki,łódzkie
1005072,Łowicz,łowicki,łódzkie
1005082,Łyszkowice,łowicki,łódzkie
1005092,Nieborów,łowicki,łódzkie
1005102,Zduny,łowicki,łódzkie
1006022,Andrespol,łódzki wschodni,łódzkie
1006032,Brójce,łódzki wschodni,łódzkie
1006073,Koluszki,łódzki wschodni,łódzkie
1006082,Nowosolna,łódzki wschodni,łódzkie
1006103,Rzgów,łódzki wschodni,łódzkie
1006113,Tuszyn,łódzki wschodni,łódzkie
1007012,Białaczów,opoczyński,łódzkie
1007023,Drzewica,opoczyński,łódzkie
1007032,Mniszków,opoczyński,łódzkie
1007043,Opoczno,opoczyński,łódzkie
1007052,Paradyż,opoczyński,łódzkie
1007062,Poświętne,opoczyński,łódzkie
1007072,Sławno,opoczyński,łódzkie
1007082,Żarnów,opoczyński,łódzkie
1008011,Konstantynów Łódzki,pabianicki,łódzkie
1008021,Pabianice,pabianicki,łódzkie
1008032,Dłutów,pabianicki,łódzkie
1008042,Dobroń,pabianicki,łódzkie
1008052,Ksawerów,pabianicki,łódzkie
1008062,Lutomiersk,pabianicki,łódzkie
1008072,Pabianice,pabianicki,łódzkie
1009013,Działoszyn,pajęczański,łódzkie
1009022,Kiełczygłów,pajęczański,łódzkie
1009032,Nowa Brzeźnica,pajęczański,łódzkie
1009043,Pajęczno,pajęczański,łódzkie
1009052,Rząśnia,pajęczański,łódzkie
1009062,Siemkowice,pajęczański,łódzkie
1009072,Strzelce Wielkie,pajęczański,łódzkie
1009082,Sulmierzyce,pajęczański,łódzkie
1010012,Aleksandrów,piotrkowski,łódzkie
1010022,Czarnocin,piotrkowski,łódzkie
1010032,Gorzkowice,piotrkowski,łódzkie
1010042,Grabica,piotrkowski,łódzkie
1010052,Łęki Szlacheckie,piotrkowski,łódzkie
1010062,Moszczenica,piotrkowski,łódzkie
1010072,Ręczno,piotrkowski,łódzkie
1010082,Rozprza,piotrkowski,łódzkie
1010093,Sulejów,piotrkowski,łódzkie
1010102,Wola Krzysztoporska,piotrkowski,łódzkie
1010113,Wolbórz,piotrkowski,łódzkie
1011012,Dalików,poddębicki,łódzkie
1011022,Pęczniew,poddębicki,łódzkie
1011033,Poddębice,poddębicki,łódzkie
1011043,Uniejów,poddębicki,łódzkie
1011052,Wartkowice,poddębicki,łódzkie
1011062,Zadzim,poddębicki,łódzkie
1012011,Radomsko,radomszczański,łódzkie
1012022,Dobryszyce,radomszczański,łódzkie
1012032,Gidle,radomszczański,łódzkie
1012042,Gomunice,radomszczański,łódzkie
1012053,Kamieńsk,radomszczański,łódzkie
1012062,Kobiele Wielkie,radomszczański,łódzkie
1012072,Kodrąb,radomszczański,łódzkie
1012082,Lgota Wielka,radomszczański,łódzkie
1012092,Ładzice,radomszczański,łódzkie
1012102,Masłowice,radomszczański,łódzkie
1012113,Przedbórz,radomszczański,łódzkie
1012122,Radomsko,radomszczański,łódzkie
1012132,Wielgomłyny,radomszczański,łódzkie
1012142,Żytno,radomszczański,łódzkie
1013011,Rawa Mazowiecka,rawski,łódzkie
1013023,Biała Rawska,rawski,łódzkie
1013032,Cielądz,rawski,łódzkie
1013042,Rawa Mazowiecka,rawski,łódzkie
1013052,Regnów,rawski,łódzkie
1013062,Sadkowice,rawski,łódzkie
1014011,Sieradz,sieradzki,łódzkie
1014023,Błaszki,sieradzki,łódzkie
1014032,Brąszewice,sieradzki,łódzkie
1014042,Brzeźnio,sieradzki,łódzkie
1014052,Burzenin,sieradzki,łódzkie
1014062,Goszczanów,sieradzki,łódzkie
1014072,Klonowa,sieradzki,łódzkie
1014082,Sieradz,sieradzki,łódzkie
1014093,Warta,sieradzki,łódzkie
1014102,Wróblew,sieradzki,łódzkie
1014113,Złoczew,sieradzki,łódzkie
1015012,Bolimów,skierniewicki,łódzkie
1015022,Głuchów,skierniewicki,łódzkie
1015032,Godzianów,skierniewicki,łódzkie
1015042,Kowiesy,skierniewicki,łódzkie
1015052,Lipce Reymontowskie,skierniewicki,łódzkie
1015062,Maków,skierniewicki,łódzkie
1015072,Nowy Kawęczyn,skierniewicki,łódzkie
1015082,Skierniewice,skierniewicki,łódzkie
1015092,Słupia,skierniewicki,łódzkie
1016011,Tomaszów Mazowiecki,tomaszowski,łódzkie
1016022,Będków,tomaszowski,łódzkie
1016032,Budziszewice,tomaszowski,łódzkie
1016042,Czerniewice,tomaszowski,łódzkie
1016052,Inowłódz,tomaszowski,łódzkie
1016062,Lubochnia,tomaszowski,łódzkie
1016072,Rokiciny,tomaszowski,łódzkie
1016082,Rzeczyca,tomaszowski,łódzkie
1016092,Tomaszów Mazowiecki,tomaszowski,łódzkie
1016102,Ujazd,tomaszowski,łódzkie
1016112,Żelechlinek,tomaszowski,łódzkie
1017012,Biała,wieluński,łódzkie
1017022,Czarnożyły,wieluński,łódzkie
1017032,Konopnica,wieluński,łódzkie
1017042,Mokrsko,wieluński,łódzkie
1017052,Osjaków,wieluński,łódzkie
1017062,Ostrówek,wieluński,łódzkie
1017072,Pątnów,wieluński,łódzkie
1017082,Skomlin,wieluński,łódzkie
1017093,Wieluń,wieluński,łódzkie
1017102,Wierzchlas,wieluński,łódzkie
1018012,Bolesławiec,wieruszowski,łódzkie
1018022,Czastary,wieruszowski,łódzkie
1018032,Galewice,wieruszowski,łódzkie
1018043,Lututów,wieruszowski,łódzkie
1018052,Łubnice,wieruszowski,łódzkie
1018062,Sokolniki,wieruszowski,łódzkie
1018073,Wieruszów,wieruszowski,łódzkie
1019011,Zduńska Wola,zduńskowolski,łódzkie
1019023,Szadek,zduńskowolski,łódzkie
1019032,Zapolice,zduńskowolski,łódzkie
1019042,Zduńska Wola,zduńskowolski,łódzkie
1020011,Głowno,zgierski,łódzkie
1020021,Ozorków,zgierski,łódzkie
1020031,Zgierz,zgierski,łódzkie
1020043,Aleksandrów Łódzki,zgierski,łódzkie
1020052,Głowno,zgierski,łódzkie
1020062,Ozorków,zgierski,łódzkie
1020072,Parzęczew,zgierski,łódzkie
1020083,Stryków,zgierski,łódzkie
1020092,Zgierz,zgierski,łódzkie
1021011,Brzeziny,brzeziński,łódzkie
1021022,Brzeziny,brzeziński,łódzkie
1021032,Dmosin,brzeziński,łódzkie
1021042,Jeżów,brzeziński,łódzkie
1021052,Rogów,brzeziński,łódzkie
1061011,Łódź,Łódź,łódzkie
1062011,Piotrków Trybunalski,Piotrków Trybunalski,łódzkie
1063011,Skierniewice,Skierniewice,łódzkie
1201011,Bochnia,bocheński,małopolskie
1201022,Bochnia,bocheński,małopolskie
1201032,Drwinia,bocheński,małopolskie
1201042,Lipnica Murowana,bocheński,małopolskie
1201052,Łapanów,bocheński,małopolskie
1201063,Nowy Wiśnicz,bocheński,małopolskie
1201072,Rzezawa,bocheński,małopolskie
1201082,Trzciana,bocheński,małopolskie
1201092,Żegocina,bocheński,małopolskie
1202012,Borzęcin,brzeski,małopolskie
1202023,Brzesko,brzeski,małopolskie
1202033,Czchów,brzeski,małopolskie
1202042,Dębno,brzeski,małopolskie
1202052,Gnojnik,brzeski,małopolskie
1202062,Iwkowa,brzeski,małopolskie
1202072,Szczurowa,brzeski,małopolskie
1203013,Alwernia,chrzanowski,małopolskie
1203022,Babice,chrzanowski,małopolskie
1203033,Chrzanów,chrzanowski,małopolskie
1203043,Libiąż,chrzanowski,małopolskie
1203053,Trzebinia,chrzanowski,małopolskie
1204012,Bolesław,dąbrowski,małopolskie
1204023,Dąbrowa Tarnowska,dąbrowski,małopolskie
1204032,Gręboszów,dąbrowski,małopolskie
1204042,Mędrzechów,dąbrowski,małopolskie
1204052,Olesno,dąbrowski,małopolskie
1204062,Radgoszcz,dąbrowski,małopolskie
1204073,Szczucin,dąbrowski,małopolskie
1205011,Gorlice,gorlicki,małopolskie
1205023,Biecz,gorlicki,małopolskie
1205033,Bobowa,gorlicki,małopolskie
1205042,Gorlice,gorlicki,małopolskie
1205052,Lipinki,gorlicki,małopolskie
1205062,Łużna,gorlicki,małopolskie
1205072,Moszczenica,gorlicki,małopolskie
1205082,Ropa,gorlicki,małopolskie
1205092,Sękowa,gorlicki,małopolskie
1205102,Uście Gorlickie,gorlicki,małopolskie
1206012,Czernichów,krakowski,małopolskie
1206022,Igołomia-Wawrzeńczyce,krakowski,małopolskie
1206032,Iwanowice,krakowski,małopolskie
1206042,Jerzmanowice-Przeginia,krakowski,małopolskie
1206052,Kocmyrzów-Luborzyca,krakowski,małopolskie
1206063,Krzeszowice,krakowski,małopolskie
1206072,Liszki,krakowski,małopolskie
1206082,Michałowice,krakowski,małopolskie
1206092,Mogilany,krakowski,małopolskie
1206103,Skała,krakowski,małopolskie
1206113,Skawina,krakowski,małopolskie
1206123,Słomniki,krakowski,małopolskie
1206132,Sułoszowa,krakowski,małopolskie
1206143,Świątniki Górne,krakowski,małopolskie
1206152,Wielka Wieś,krakowski,małopolskie
1206162,Zabierzów,krakowski,małopolskie
1206172,Zielonki,krakowski,małopolskie
1207011,Limanowa,limanowski,małopolskie
1207021,Mszana Dolna,limanowski,małopolskie
1207032,Dobra,limanowski,małopolskie
1207042,Jodłownik,limanowski,małopolskie
1207052,Kamienica,limanowski,małopolskie
1207062,Laskowa,limanowski,małopolskie
1207072,Limanowa,limanowski,małopolskie
1207082,Łukowica,limanowski,małopolskie
1207092,Mszana Dolna,limanowski,małopolskie
1207102,Niedźwiedź,limanowski,małopolskie
1207112,Słopnice,limanowski,małopolskie
1207122,Tymbark,limanowski,małopolskie
1208012,Charsznica,miechowski,małopolskie
1208022,Gołcza,miechowski,małopolskie
1208032,Kozłów,miechowski,małopolskie
1208042,Książ Wielki,miechowski,małopolskie
1208053,Miechów,miechowski,małopolskie
1208062,Racławice,miechowski,małopolskie
1208072,Słaboszów,miechowski,małopolskie
1209013,Dobczyce,myślenicki,małopolskie
1209022,Lubień,myślenicki,małopolskie
1209033,Myślenice,myślenicki,małopolskie
1209042,Pcim,myślenicki,małopolskie
1209052,Raciechowice,myślenicki,małopolskie
1209062,Siepraw,myślenicki,małopolskie
1209073,Sułkowice,myślenicki,małopolskie
1209082,Tokarnia,myślenicki,małopolskie
1209092,Wiśniowa,myślenicki,małopolskie
1210011,Grybów,nowosądecki,małopolskie
1210022,Chełmiec,nowosądecki,małopolskie
1210032,Gródek nad Dunajcem,nowosądecki,małopolskie
1210042,Grybów,nowosądecki,małopolskie
1210052,Kamionka Wielka,nowosądecki,małopolskie
1210062,Korzenna,nowosądecki,małopolskie
1210073,Krynica-Zdrój,nowosądecki,małopolskie
1210082,Łabowa,nowosądecki,małopolskie
1210092,Łącko,nowosądecki,małopolskie
1210102,Łososina Dolna,nowosądecki,małopolskie
1210113,Muszyna,nowosądecki,małopolskie
1210122,Nawojowa,nowosądecki,małopolskie
1210133,Piwniczna-Zdrój,nowosądecki,małopolskie
1210142,Podegrodzie,nowosądecki,małopolskie
1210152,Rytro,nowosądecki,małopolskie
1210163,Stary Sącz,nowosądecki,małopolskie
1211011,Nowy Targ,nowotarski,małopolskie
1211023,Szczawnica,nowotarski,małopolskie
1211032,Czarny Dunajec,nowotarski,małopolskie
1211042,Czorsztyn,nowotarski,małopolskie
1211052,Jabłonka,nowotarski,małopolskie
1211062,Krościenko nad Dunajcem,nowotarski,małopolskie
1211072,Lipnica Wielka,nowotarski,małopolskie
1211082,Łapsze Niżne,nowotarski,małopolskie
1211092,Nowy Targ,nowotarski,małopolskie
1211102,Ochotnica Dolna,nowotarski,małopolskie
1211112,Raba Wyżna,nowotarski,małopolskie
1211123,Rabka-Zdrój,nowotarski,małopolskie
1211132,Spytkowice,nowotarski,małopolskie
1211142,Szaflary,nowotarski,małopolskie
1212011,Bukowno,olkuski,małopolskie
1212032,Bolesław,olkuski,małopolskie
1212042,Klucze,olkuski,małopolskie
1212053,Olkusz,olkuski,małopolskie
1212062,Trzyciąż,olkuski,małopolskie
1212073,Wolbrom,olkuski,małopolskie
1213011,Oświęcim,oświęcimski,małopolskie
1213023,Brzeszcze,oświęcimski,małopolskie
1213033,Chełmek,oświęcimski,małopolskie
1213043,Kęty,oświęcimski,małopolskie
1213052,Osiek,oświęcimski,małopolskie
1213062,Oświęcim,oświęcimski,małopolskie
1213072,Polanka Wielka,oświęcimski,małopolskie
1213082,Przeciszów,oświęcimski,małopolskie
1213093,Zator,oświęcimski,małopolskie
1214012,Koniusza,proszowicki,małopolskie
1214023,Koszyce,proszowicki,małopolskie
1214033,Nowe Brzesko,proszowicki,małopolskie
1214042,Pałecznica,proszowicki,małopolskie
1214053,Proszowice,proszowicki,małopolskie
1214062,Radziemice,proszowicki,małopolskie
1215011,Jordanów,suski,małopolskie
1215021,Sucha Beskidzka,suski,małopolskie
1215032,Budzów,suski,małopolskie
1215042,Bystra-Sidzina,suski,małopolskie
1215052,Jordanów,suski,małopolskie
1215063,Maków Podhalański,suski,małopolskie
1215072,Stryszawa,suski,małopolskie
1215082,Zawoja,suski,małopolskie
1215092,Zembrzyce,suski,małopolskie
1216013,Ciężkowice,tarnowski,małopolskie
1216022,Gromnik,tarnowski,małopolskie
1216032,Lisia Góra,tarnowski,małopolskie
1216042,Pleśna,tarnowski,małopolskie
1216053,Radłów,tarnowski,małopolskie
1216063,Ryglice,tarnowski,małopolskie
1216072,Rzepiennik Strzyżewski,tarnowski,małopolskie
1216082,Skrzyszów,tarnowski,małopolskie
1216092,Tarnów,tarnowski,małopolskie
1216103,Tuchów,tarnowski,małopolskie
1216112,Wierzchosławice,tarnowski,małopolskie
1216122,Wietrzychowice,tarnowski,małopolskie
1216133,Wojnicz,tarnowski,małopolskie
1216143,Zakliczyn,tarnowski,małopolskie
1216153,Żabno,tarnowski,małopolskie
1216162,Szerzyny,tarnowski,małopolskie
1217011,Zakopane,tatrzański,małopolskie
1217022,Biały Dunajec,tatrzański,małopolskie
1217032,Bukowina Tatrzańska,tatrzański,małopolskie
1217042,Kościelisko,tatrzański,małopolskie
1217052,Poronin,tatrzański,małopolskie
1218013,Andrychów,wadowicki,małopolskie
1218022,Brzeźnica,wadowicki,małopolskie
1218033,Kalwaria Zebrzydowska,wadowicki,małopolskie
1218042,Lanckorona,wadowicki,małopolskie
1218052,Mucharz,wadowicki,małopolskie
1218062,Spytkowice,wadowicki,małopolskie
1218072,Stryszów,wadowicki,małopolskie
1218082,Tomice,wadowicki,małopolskie
1218093,Wadowice,wadowicki,małopolskie
1218102,Wieprz,wadowicki,małopolskie
1219012,Biskupice,wielicki,małopolskie
1219022,Gdów,wielicki,małopolskie
1219032,Kłaj,wielicki,małopolskie
1219043,Niepołomice,wielicki,małopolskie
1219053,Wieliczka,wielicki,małopolskie
1261011,Kraków,Kraków,małopolskie
1262011,Nowy Sącz,Nowy Sącz,małopolskie
1263011,Tarnów,Tarnów,małopolskie
1401013,Białobrzegi,białobrzeski,mazowieckie
1401022,Promna,białobrzeski,mazowieckie
1401032,Radzanów,białobrzeski,mazowieckie
1401042,Stara Błotnica,białobrzeski,mazowieckie
1401052,Stromiec,białobrzeski,mazowieckie
1401063,Wyśmierzyce,białobrzeski,mazowieckie
1402011,Ciechanów,ciechanowski,mazowieckie
1402022,Ciechanów,ciechanowski,mazowieckie
1402033,Glinojeck,ciechanowski,mazowieckie
1402042,Gołymin-Ośrodek,ciechanowski,mazowieckie
1402052,Grudusk,ciechanowski,mazowieckie
1402062,Ojrzeń,ciechanowski,mazowieckie
1402072,Opinogóra Górna,ciechanowski,mazowieckie
1402082,Regimin,ciechanowski,mazowieckie
1402092,Sońsk,ciechanowski,mazowieckie
1403011,Garwolin,garwoliński,mazowieckie
1403021,Łaskarzew,garwoliński,mazowieckie
1403032,Borowie,garwoliński,mazowieckie
1403042,Garwolin,garwoliński,mazowieckie
1403052,Górzno,garwoliński,mazowieckie
1403062,Łaskarzew,garwoliński,mazowieckie
1403072,Maciejowice,garwoliński,mazowieckie
1403082,Miastków Kościelny,garwoliński,mazowieckie
1403092,Parysów,garwoliński,mazowieckie
1403103,Pilawa,garwoliński,mazowieckie
1403112,Sobolew,garwoliński,mazowieckie
1403122,Trojanów,garwoliński,mazowieckie
1403132,Wilga,garwoliński,mazowieckie
1403143,Żelechów,garwoliński,mazowieckie
1404011,Gostynin,gostyniński,mazowieckie
1404022,Gostynin,gostyniński,mazowieckie
1404032,Pacyna,gostyniński,mazowieckie
1404043,Sanniki,gostyniński,mazowieckie
1404052,Szczawin Kościelny,gostyniński,mazowieckie
1405011,Milanówek,grodziski,mazowieckie
1405021,Podkowa Leśna,grodziski,mazowieckie
1405032,Baranów,grodziski,mazowieckie
1405043,Grodzisk Mazowiecki,grodziski,mazowieckie
1405052,Jaktorów,grodziski,mazowieckie
1405062,Żabia Wola,grodziski,mazowieckie
1406012,Belsk Duży,grójecki,mazowieckie
1406022,Błędów,grójecki,mazowieckie
1406032,Chynów,grójecki,mazowieckie
1406042,Goszczyn,grójecki,mazowieckie
1406053,Grójec,grójecki,mazowieckie
1406062,Jasieniec,grójecki,mazowieckie
1406073,Mogielnica,grójecki,mazowieckie
1406083,Nowe Miasto nad Pilicą,grójecki,mazowieckie
1406092,Pniewy,grójecki,mazowieckie
1406113,Warka,grójecki,mazowieckie
1407012,Garbatka-Letnisko,kozienicki,mazowieckie
1407022,Głowaczów,kozienicki,mazowieckie
1407032,Gniewoszów,kozienicki,mazowieckie
1407042,Grabów nad Pilicą,kozienicki,mazowieckie
1407053,Kozienice,kozienicki,mazowieckie
1407062,Magnuszew,kozienicki,mazowieckie
1407072,Sieciechów,kozienicki,mazowieckie
1408011,Legionowo,legionowski,mazowieckie
1408022,Jabłonna,legionowski,mazowieckie
1408032,Nieporęt,legionowski,mazowieckie
1408043,Serock,legionowski,mazowieckie
1408052,Wieliszew,legionowski,mazowieckie
1409012,Chotcza,lipski,mazowieckie
1409022,Ciepielów,lipski,mazowieckie
1409033,Lipsko,lipski,mazowieckie
1409042,Rzeczniów,lipski,mazowieckie
1409052,Sienno,lipski,mazowieckie
1409063,Solec nad Wisłą,lipski,mazowieckie
1410012,Huszlew,łosicki,mazowieckie
1410023,Łosice,łosicki,mazowieckie
1410032,Olszanka,łosicki,mazowieckie
1410042,Platerów,łosicki,mazowieckie
1410052,Sarnaki,łosicki,mazowieckie
1410062,Stara Kornica,łosicki,mazowieckie
1411011,Maków Mazowiecki,makowski,mazowieckie
1411022,Czerwonka,makowski,mazowieckie
1411032,Karniewo,makowski,mazowieckie
1411042,Krasnosielc,makowski,mazowieckie
1411052,Młynarze,makowski,mazowieckie
1411062,Płoniawy-Bramura,makowski,mazowieckie
1411073,Różan,makowski,mazowieckie
1411082,Rzewnie,makowski,mazowieckie
1411092,Sypniewo,makowski,mazowieckie
1411102,Szelków,makowski,mazowieckie
1412011,Mińsk Mazowiecki,miński,mazowieckie
1412042,Cegłów,miński,mazowieckie
1412052,Dębe Wielkie,miński,mazowieckie
1412062,Dobre,miński,mazowieckie
1412073,Halinów,miński,mazowieckie
1412082,Jakubów,miński,mazowieckie
1412093,Kałuszyn,miński,mazowieckie
1412102,Latowicz,miński,mazowieckie
1412112,Mińsk Mazowiecki,miński,mazowieckie
1412123,Mrozy,miński,mazowieckie
1412132,Siennica,miński,mazowieckie
1412142,Stanisławów,miński,mazowieckie
1412151,Sulejówek,miński,mazowieckie
1413011,Mława,mławski,mazowieckie
1413022,Dzierzgowo,mławski,mazowieckie
1413032,Lipowiec Kościelny,mławski,mazowieckie
1413042,Radzanów,mławski,mazowieckie
1413052,Strzegowo,mławski,mazowieckie
1413062,Stupsk,mławski,mazowieckie
1413072,Szreńsk,mławski,mazowieckie
1413082,Szydłowo,mławski,mazowieckie
1413092,Wieczfnia Kościelna,mławski,mazowieckie
1413102,Wiśniewo,mławski,mazowieckie
1414011,Nowy Dwór Mazowiecki,nowodworski,mazowieckie
1414022,Czosnów,nowodworski,mazowieckie
1414032,Leoncin,nowodworski,mazowieckie
1414043,Nasielsk,nowodworski,mazowieckie
1414052,Pomiechówek,nowodworski,mazowieckie
1414063,Zakroczym,nowodworski,mazowieckie
1415012,Baranowo,ostrołęcki,mazowieckie
1415022,Czarnia,ostrołęcki,mazowieckie
1415032,Czerwin,ostrołęcki,mazowieckie
1415042,Goworowo,ostrołęcki,mazowieckie
1415052,Kadzidło,ostrołęcki,mazowieckie
1415062,Lelis,ostrołęcki,mazowieckie
1415072,Łyse,ostrołęcki,mazowieckie
1415083,Myszyniec,ostrołęcki,mazowieckie
1415092,Olszewo-Borki,ostrołęcki,mazowieckie
1415102,Rzekuń,ostrołęcki,mazowieckie
1415112,Troszyn,ostrołęcki,mazowieckie
1416011,Ostrów Mazowiecka,ostrowski,mazowieckie
1416022,Andrzejewo,ostrowski,mazowieckie
1416032,Boguty-Pianki,ostrowski,mazowieckie
1416043,Brok,ostrowski,mazowieckie
1416052,Małkinia Górna,ostrowski,mazowieckie
1416062,Nur,ostrowski,mazowieckie
1416072,Ostrów Mazowiecka,ostrowski,mazowieckie
1416082,Stary Lubotyń,ostrowski,mazowieckie
1416092,Szulborze Wielkie,ostrowski,mazowieckie
1416102,Wąsewo,ostrowski,mazowieckie
1416112,Zaręby Kościelne,ostrowski,mazowieckie
1417011,Józefów,otwocki,mazowieckie
1417021,Otwock,otwocki,mazowieckie
1417032,Celestynów,otwocki,mazowieckie
1417043,Karczew,otwocki,mazowieckie
1417052,Kołbiel,otwocki,mazowieckie
1417062,Osieck,otwocki,mazowieckie
1417072,Sobienie-Jeziory,otwocki,mazowieckie
1417082,Wiązowna,otwocki,mazowieckie
1418013,Góra Kalwaria,piaseczyński,mazowieckie
1418023,Konstancin-Jeziorna,piaseczyński,mazowieckie
1418032,Lesznowola,piaseczyński,mazowieckie
1418043,Piaseczno,piaseczyński,mazowieckie
1418052,Prażmów,piaseczyński,mazowieckie
1418063,Tarczyn,piaseczyński,mazowieckie
1419012,Bielsk,płocki,mazowieckie
1419022,Bodzanów,płocki,mazowieckie
1419032,Brudzeń Duży,płocki,mazowieckie
1419042,Bulkowo,płocki,mazowieckie
1419053,Drobin,płocki,mazowieckie
1419063,Gąbin,płocki,mazowieckie
1419072,Łąck,płocki,mazowieckie
1419082,Mała Wieś,płocki,mazowieckie
1419092,Nowy Duninów,płocki,mazowieckie
1419102,Radzanowo,płocki,mazowieckie
1419112,Słubice,płocki,mazowieckie
1419122,Słupno,płocki,mazowieckie
1419132,Stara Biała,płocki,mazowieckie
1419142,Staroźreby,płocki,mazowieckie
1419153,Wyszogród,płocki,mazowieckie
1420011,Płońsk,płoński,mazowieckie
1420021,Raciąż,płoński,mazowieckie
1420032,Baboszewo,płoński,mazowieckie
1420043,Czerwińsk nad Wisłą,płoński,mazowieckie
1420052,Dzierzążnia,płoński,mazowieckie
1420062,Joniec,płoński,mazowieckie
1420072,Naruszewo,płoński,mazowieckie
1420082,Nowe Miasto,płoński,mazowieckie
1420092,Płońsk,płoński,mazowieckie
1420102,Raciąż,płoński,mazowieckie
1420113,Sochocin,płoński,mazowieckie
1420122,Załuski,płoński,mazowieckie
1421011,Piastów,pruszkowski,mazowieckie
1421021,Pruszków,pruszkowski,mazowieckie
1421033,Brwinów,pruszkowski,mazowieckie
1421042,Michałowice,pruszkowski,mazowieckie
1421052,Nadarzyn,pruszkowski,mazowieckie
1421062,Raszyn,pruszkowski,mazowieckie
1422011,Przasnysz,przasnyski,mazowieckie
1422023,Chorzele,przasnyski,mazowieckie
1422032,Czernice Borowe,przasnyski,mazowieckie
1422042,Jednorożec,przasnyski,mazowieckie
1422052,Krasne,przasnyski,mazowieckie
1422062,Krzynowłoga Mała,przasnyski,mazowieckie
1422072,Przasnysz,przasnyski,mazowieckie
1423012,Borkowice,przysuski,mazowieckie
